7	PERSONAL AREA NETWORK	LOCAL AREA NETWORK	11	weak	1
17	NETWORK	PROTOCOL	37	strong	1
18	BUS	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION	43	strong	1
23	PROTOCOL	COLLISION AVOIDANCE	58	strong	1
24	WIRELESS NETWORK	COLLISION AVOIDANCE	58	strong	1
28	REPEATER	BRIDGE	79	weak	1
31	TRADITIONAL TELEPHONE	INTERNET	96	weak	1
32	INTERNET	ROUTER	97	strong	1
33	REPEATER	ROUTER	98	weak	1
34	BRIDGE	ROUTER	98	weak	1
35	SWITCH	ROUTER	98	weak	1
47	MAGNETIC DISK	CLIENT/SERVER MODEL	122	weak	1
62	ROUTER	TIER-2 INTERNET SERVICE PROVIDER	183	strong	1
68	ACCESS INTERNET SERVICE PROVIDER	INTRANET	186	strong	1
86	INTERNET PROTOCOL ADDRESS	NAME SERVER	245	strong	1
93	WEBSERVER	HYPERTEXT TRANSFER PROTOCOL	264	strong	1
100	PROTOCOL	DOMAIN NAME SYSTEM	272	strong	1
102	MAIL SERVER	SIMPLE MAIL TRANSFER PROTOCOL	280	strong	1
105	SIMPLE MAIL TRANSFER PROTOCOL	POST OFFICE PROTOCOL VERSION 3	300	weak	1
109	SIMPLE MAIL TRANSFER PROTOCOL	INTERNET MAIL ACCESS PROTOCOL	300	weak	1
113	TRADITIONAL TELEPHONE	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK	318	strong	1
124	ACCESS INTERNET SERVICE PROVIDER	CONTENT DELIVERY NETWORK	345	strong	1
129	HYPERTEXT DOCUMENT	WORLD WIDE WEB	352	strong	1
133	SOFTWARE	WEBSERVERS	355	strong	1
135	HYPERTEXT	WEBSERVERS	355	strong	1
136	HYPERTEXT DOCUMENT	WEBSERVER	358	strong	1
137	CLIENT	WEBSERVER	358	strong	1
138	BROWSER	WEBSERVER	358	weak	1
139	HYPERTEXT DOCUMENT	HYPERTEXT TRANSFER PROTOCOL	360	strong	1
141	BROWSER	HYPERTEXT TRANSFER PROTOCOL	360	strong	1
142	WEBSERVERS	HYPERTEXT TRANSFER PROTOCOL	360	strong	1
151	HYPERTEXT MARKUP LANGUAGE	EXTENSIBLE MARKUP LANGUAGE	390	strong	1
154	BROWSER	CLIENT-SIDE	457	strong	1
157	SEARCH ENGINE	CLIENT-SIDE	463	strong	1
158	MAIL SERVER	SERVER-SIDE	466	weak	1
160	SERVER-SIDE	SERVLETS	474	strong	1
161	CLIENT	SERVLETS	474	strong	1
164	JAVASERVER PAGE	ACTIVE SERVER PAGE	477	strong	1
166	HYPERTEXT	PHP	478	strong	1
168	NETWORK SOFTWARE	INTERNET	490	strong	1
175	APPLICATION LAYER	NETWORK LAYER	504	weak	1
179	FILE TRANSFER PROTOCOL	APPLICATION LAYER	511	weak	1
180	SECURE SHELL	APPLICATION LAYER	511	weak	1
181	TRANSPORT LAYER	APPLICATION LAYER	511	weak	1
183	NAME SERVER	APPLICATION LAYER	513	weak	1
191	INTERNET	TRANSMISSION CONTROL PROTOCOL	561	strong	1
196	TRANSMISSION CONTROL PROTOCOL	USER DATAGRAM PROTOCOL	565	weak	1
197	DOMAIN NAME SYSTEM	USER DATAGRAM PROTOCOL	579	weak	1
198	VOICE OVER INTERNET PROTOCOL	USER DATAGRAM PROTOCOL	579	weak	1
201	INTERNET	HOP COUNT	584	strong	1
210	NETWORK	MALICIOUS SOFTWARE	598	strong	1
211	COMPUTER SYSTEM	TROJAN HORSE	613	weak	1
215	COMPUTER	DENIAL OF SERVICE	630	strong	1
221	INTRANET	FIREWALL	645	strong	1
222	DENIAL OF SERVICE	FIREWALL	646	strong	1
226	SERVER	SPYWARE	653	strong	1
228	CLIENT	FIREWALL	654	strong	1
233	VIRUS	PROXY SERVER	670	weak	1
236	FIREWALL	AUDITING SOFTWARE	672	strong	1
237	NETWORK	ANTIVIRUS SOFTWARE	674	strong	1
240	SPYWARE	ANTIVIRUS SOFTWARE	675	strong	1
246	CLIENT	SECURE SOCKET LAYER	689	strong	1
247	SERVER	SECURE SOCKET LAYER	689	strong	1
252	PUBLIC-KEY	CERTIFICATE AUTHORITY	709	strong	1
14	STAR	ACCESS POINT	28	strong	2
21	WIRELESS NETWORK	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE	57	strong	2
22	PROTOCOL	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE	57	strong	2
29	BRIDGE	SWITCH	84	weak	2
39	ROUTER	GATEWAY	111	strong	2
40	ACCESS POINT	GATEWAY	113	strong	2
41	NETWORK	INTERPROCESS COMMUNICATION	116	strong	2
44	CLIENT	CLIENT/SERVER MODEL	119	strong	2
45	SERVER	CLIENT/SERVER MODEL	119	strong	2
46	SERVER	PRINT SERVER	121	strong	2
51	SOFTWARE	DISTRIBUTED SYSTEM	147	strong	2
61	TIER-1 INTERNET SERVICE PROVIDER	TIER-2 INTERNET SERVICE PROVIDER	180	strong	2
64	TIER-2 INTERNET SERVICE PROVIDER	TIER-3 INTERNET SERVICE PROVIDER	185	strong	2
66	INTERNET	TIER-3 INTERNET SERVICE PROVIDER	185	strong	2
