10	OPEN NETWORK	INTERNET	18	weak	1
17	ETHERNET NETWORK	HUB	33	weak	1
20	WIRELESS NETWORK	HIDDEN TERMINAL PROBLEM	55	strong	1
24	ETHERNET NETWORK	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION	43	strong	1
35	NETWORK	GATEWAY	109	strong	1
50	COMPUTER	DISTRIBUTED SYSTEM	147	strong	1
54	PERSONAL AREA NETWORK	INTERNET	169	strong	1
55	METROPOLITAN AREA NETWORK	INTERNET	169	strong	1
56	LOCAL AREA NETWORK	INTERNET	169	strong	1
57	WIDE AREA NETWORK	INTERNET	169	strong	1
58	NETWORK	INTERNET SERVICE PROVIDER	172	strong	1
59	WIDE AREA NETWORK	TIER-1 INTERNET SERVICE PROVIDER	176	strong	1
74	BIT PATTERN	INTERNET PROTOCOL ADDRESS	217	strong	1
84	DOMAIN NAME	NAME SERVER	248	strong	1
92	EMAIL	POST OFFICE PROTOCOL VERSION 3	300	strong	1
97	INTERNET INFRASTRUCTURE	VOICE OVER INTERNET PROTOCOL	306	strong	1
101	NETWORK	4G	323	strong	1
102	INTERNET PROTOCOL NETWORK	4G	342	strong	1
106	PROTOCOL	WORLD WIDE WEB	352	strong	1
111	PROTOCOL	UNIFORM RESOURCE LOCATOR	364	strong	1
112	MNEMONIC ADDRESS	UNIFORM RESOURCE LOCATOR	364	strong	1
120	SERVER	WEBSERVER	457	strong	1
133	SOFTWARE	APPLICATION LAYER	508	strong	1
136	INTERNET	APPLICATION LAYER	508	strong	1
147	NETWORK LAYER	INTERNET PROTOCOL	589	strong	1
155	SOFTWARE	FIREWALL	645	strong	1
11	PROTOCOL	INTERNET	19	weak	2
22	WIRELESS NETWORK	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE	57	strong	2
30	BRIDGE	SWITCH	84	strong	2
37	ROUTER	GATEWAY	111	strong	2
38	ACCESS POINT	GATEWAY	113	weak	2
39	ROUTER	GATEWAY	113	weak	2
42	CLIENT	CLIENT/SERVER MODEL	119	strong	2
43	SERVER	CLIENT/SERVER MODEL	119	strong	2
44	NETWORK	CLIENT/SERVER MODEL	119	strong	2
45	SERVER	PRINT SERVER	121	strong	2
46	MASS STORAGE	MAGNETIC DISK	123	strong	2
49	SOFTWARE	DISTRIBUTED SYSTEM	147	strong	2
61	INTERNET SERVICE PROVIDER	TIER-2 INTERNET SERVICE PROVIDER	180	strong	2
62	TIER-1 INTERNET SERVICE PROVIDER	TIER-2 INTERNET SERVICE PROVIDER	180	weak	2
63	INTERNET SERVICE PROVIDER	ACCESS INTERNET SERVICE PROVIDER	186	strong	2
67	TIER-2 INTERNET SERVICE PROVIDER	TIER-3 INTERNET SERVICE PROVIDER	185	weak	2
71	ADDRESSING SYSTEM	INTERNET PROTOCOL ADDRESS	215	strong	2
75	INTERNET	DOMAIN	225	strong	2
78	DOMAIN NAME	MNEMONIC DOMAIN NAME	228	strong	2
80	DOMAIN NAME	SUBDOMAINS	239	strong	2
85	DOMAIN	REGISTERED DOMAIN	257	strong	2
94	EMAIL	INTERNET MAIL ACCESS PROTOCOL	300	strong	2
99	INTERNET	4G	323	strong	2
100	PROTOCOL	4G	323	strong	2
104	INTERNET	CONTENT DELIVERY NETWORK	344	strong	2
107	HYPERTEXT	WORLD WIDE WEB	352	strong	2
108	SOFTWARE	BROWSER	355	strong	2
109	HYPERTEXT	BROWSER	355	strong	2
113	SERVER	UNIFORM RESOURCE LOCATOR	364	strong	2
115	TAG	HYPERTEXT MARKUP LANGUAGE	378	strong	2
137	ROUTER	LINK LAYER	523	strong	2
139	FORWARDING TABLE	NETWORK LAYER	526	strong	2
